위도 : 36.376870	   경도 : 127.354599	   높이 : 94.121175	

위도 : 36.376873	   경도 : 127.354601	   높이 : 93.735622	

위도 : 36.376873	   경도 : 127.354600	   높이 : 94.103442	

위도 : 36.376872	   경도 : 127.354596	   높이 : 94.353655	

위도 : 36.376874	   경도 : 127.354599	   높이 : 93.436790	

위도 : 36.376875	   경도 : 127.354600	   높이 : 94.052370	

위도 : 36.376873	   경도 : 127.354600	   높이 : 94.098012	

위도 : 36.376874	   경도 : 127.354601	   높이 : 94.104516	

위도 : 36.376876	   경도 : 127.354601	   높이 : 93.661549	

위도 : 36.376874	   경도 : 127.354601	   높이 : 93.494607	

위도 : 36.376875	   경도 : 127.354602	   높이 : 93.670168	

위도 : 36.376875	   경도 : 127.354603	   높이 : 93.369331	

위도 : 36.376872	   경도 : 127.354602	   높이 : 93.473416	

위도 : 36.376874	   경도 : 127.354603	   높이 : 93.586733	

위도 : 36.376873	   경도 : 127.354603	   높이 : 93.182905	

위도 : 36.376874	   경도 : 127.354603	   높이 : 93.465359	

위도 : 36.376872	   경도 : 127.354600	   높이 : 94.219705	

위도 : 36.376872	   경도 : 127.354600	   높이 : 93.841463	

위도 : 36.376873	   경도 : 127.354602	   높이 : 93.442485	

위도 : 36.376873	   경도 : 127.354602	   높이 : 94.330386	

위도 : 36.376875	   경도 : 127.354601	   높이 : 93.663164	

위도 : 36.376874	   경도 : 127.354602	   높이 : 93.275924	

위도 : 36.376873	   경도 : 127.354601	   높이 : 93.440703	

위도 : 36.376874	   경도 : 127.354602	   높이 : 93.572007	

위도 : 36.376873	   경도 : 127.354604	   높이 : 94.011567	

위도 : 36.376871	   경도 : 127.354604	   높이 : 93.885589	

위도 : 36.376872	   경도 : 127.354604	   높이 : 94.231097	

위도 : 36.376874	   경도 : 127.354605	   높이 : 94.384201	

위도 : 36.376874	   경도 : 127.354602	   높이 : 94.492039	

위도 : 36.376872	   경도 : 127.354603	   높이 : 94.709047	

위도 : 36.376872	   경도 : 127.354604	   높이 : 94.826762	

위도 : 36.376872	   경도 : 127.354606	   높이 : 94.881548	

위도 : 36.376874	   경도 : 127.354604	   높이 : 94.429940	

위도 : 36.376874	   경도 : 127.354602	   높이 : 94.971975	

위도 : 36.376875	   경도 : 127.354604	   높이 : 94.865568	

위도 : 36.376872	   경도 : 127.354604	   높이 : 95.428874	

위도 : 36.376873	   경도 : 127.354603	   높이 : 95.059330	

위도 : 36.376872	   경도 : 127.354602	   높이 : 94.568020	

위도 : 36.376872	   경도 : 127.354606	   높이 : 93.866522	

위도 : 36.376873	   경도 : 127.354602	   높이 : 94.954414	

위도 : 36.376873	   경도 : 127.354605	   높이 : 94.580768	

위도 : 36.376874	   경도 : 127.354604	   높이 : 94.530889	

위도 : 36.376874	   경도 : 127.354603	   높이 : 94.911062	

위도 : 36.376874	   경도 : 127.354606	   높이 : 95.575029	

위도 : 36.376875	   경도 : 127.354606	   높이 : 94.907334	

위도 : 36.376875	   경도 : 127.354604	   높이 : 95.047732	

위도 : 36.376874	   경도 : 127.354603	   높이 : 94.213819	

위도 : 36.376873	   경도 : 127.354604	   높이 : 94.715381	

위도 : 36.376873	   경도 : 127.354605	   높이 : 94.554491	

위도 : 36.376872	   경도 : 127.354604	   높이 : 94.753388	

위도 : 36.376872	   경도 : 127.354605	   높이 : 94.130348	

위도 : 36.376872	   경도 : 127.354606	   높이 : 94.623789	

위도 : 36.376873	   경도 : 127.354606	   높이 : 94.367265	

위도 : 36.376873	   경도 : 127.354606	   높이 : 94.760412	

위도 : 36.376874	   경도 : 127.354608	   높이 : 95.070407	

위도 : 36.376874	   경도 : 127.354606	   높이 : 94.516235	

위도 : 36.376874	   경도 : 127.354605	   높이 : 94.696047	

위도 : 36.376873	   경도 : 127.354606	   높이 : 94.472833	

위도 : 36.376871	   경도 : 127.354608	   높이 : 95.021176	

위도 : 36.376873	   경도 : 127.354608	   높이 : 94.636100	

